ID,statnaam,cases_today,cases_yesterday,cases_lastweek,population,toename.vandaag,toename.week,Besmettingen (sinds gisteren),Besmettingen (7 dagen),,Nieuwe besmettingen afgelopen week,Gem Nieuwe besmettingen dagelijks,bco_daily,bco_fte,bco_max,bco_max_week,Norm,BCO per capita,
18,GGD Regio Twente,1474,1469,1410,1342158,5,64,0.372534381,4.768440079,,34,5,NA,12.4,6,42,24,9.23885E-06,=
8,GGD Gooi en Vechtstreek,928,916,864,254970,12,64,4.706436051,25.10099227,,65,9,NA,15,7,49,24,5.88305E-05,
9,GGD Groningen,570,566,527,583990,4,43,0.684943235,7.36313978,,35,5,10,15.5,7,49,24,2.65416E-05,
4,GGD Drenthe,605,604,589,492167,1,16,0.203183066,3.250929055,,10,1,NA,21.8,10,70,24,4.42939E-05,
5,GGD Flevoland,1255,1247,1175,416546,8,80,1.920556193,19.20556193,,71,10,NA,23,11,77,24,5.5216E-05,
12,GGD Hollands-Midden,2631,2611,2500,801600,20,131,2.49500998,16.34231537,,121,17,NA,31,14,98,24,3.86727E-05,
15,GGD Kennemerland,1760,1742,1653,545423,18,107,3.300190861,19.61780123,,113,16,NA,30,14,98,24,5.50032E-05,
16,GGD Limburg-Noord,2013,2005,1930,510963,8,83,1.565671096,16.24383762,,63,9,NA,29.5,14,98,24,5.77341E-05,
14,GGD IJsselland,2000,1989,1960,527147,11,40,2.086704468,7.588016246,,37,5,NA,31.1,15,105,24,5.89968E-05,
6,GGD Fryslân,799,791,762,647672,8,37,1.235193122,5.712768191,,35,5,NA,40,19,133,24,6.17597E-05,
7,GGD Gelderland-Zuid,2426,2415,2351,565503,11,75,1.945170936,13.26252911,,71,10,NA,40,19,133,24,7.07335E-05,
3,GGD Brabant-Zuidoost,3410,3378,3267,773203,32,143,4.138628536,18.49449627,,166,24,NA,42,20,140,24,5.43195E-05,
19,GGD Regio Utrecht,5259,5221,5018,1312034,38,241,2.896266408,18.36842643,,268,38,NA,50,23,161,24,3.81088E-05,
24,GGD Zuid-Limburg,3314,3298,3231,824213,16,83,1.94124577,10.07021243,,88,13,NA,50,23,161,24,6.06639E-05,
1,Dienst Gezondheid & Jeugd ZHZ,1974,1962,1907,456891,12,67,2.626447008,14.66432913,,,,NA,NA,NA,,,,
2,GGD Amsterdam,6496,6410,5829,1058067,86,667,8.128029699,63.03948616,,,,NA,NA,NA,,,,
10,GGD Haaglanden,5010,4928,4588,1103368,82,422,7.431790663,38.24653244,,,,NA,NA,NA,,,,
11,GGD Hart voor Brabant,5609,5567,5386,1065191,42,223,3.942954832,20.93521256,,,,NA,NA,NA,,,,
13,GGD Hollands-Noorden,1443,1432,1390,658161,11,53,1.671323582,8.052740895,,,,NA,NA,NA,,,,
17,GGD Noord- en Oost-Gelderland,3054,3040,2965,629284,14,89,2.224750669,14.14305782,,,,NA,NA,NA,,,,
20,GGD Rotterdam-Rijnmond,8826,8733,8294,706412,93,532,13.16512177,75.31015894,,,,NA,NA,NA,,,,
21,GGD West-Brabant,3049,3025,2909,336738,24,140,7.127202751,41.57534938,,,,NA,NA,NA,,,,
22,GGD Zaanstreek/Waterland,1212,1207,1164,383032,5,48,1.305373964,12.53159005,,,,NA,NA,NA,,,,
23,GGD Zeeland,1027,1026,981,597368,1,46,0.167400999,7.700445956,,,,NA,NA,NA,,,,
25,Veiligheids- en Gezondheidsregio Gelderland-Midden,1970,1961,1875,690062,9,95,1.304230634,13.76687892,,,,NA,NA,NA,,,,
